source,source_type,title,description,url,published,deadline,amount,sectors,relevance_score,discovered,is_new
ReliefWeb - Tanzania Updates,aggregator,Mechanical Engineer (Specialized in Agricultural Machinery and Equipment),"<div class=""tag country"">Country: Syrian Arab Republic</div>
                                      <div class=""tag source"">Organization: Bonyan Organization</div>
                                                                                        <div class=""date closing"">Closing date: 31 Jan 2026</div>
                                        <h2>General Information</h2>
<ul><li><strong>Department:</strong> ERL/FSL Program</li>
<li><strong>Job Title:</strong> Mechanical Engineer (Specialized",https://reliefweb.int/job/4195347/mechanical-engineer-specialized-agricultural-machinery-and-equipment,"Sun, 25 Jan 2026 21:27:43 +0000",,,"['education', 'health', 'water', 'agriculture', 'governance', 'climate']",7,2026-01-26 09:57,True
FundsForNGOs - All,aggregator,"Supporting Local Arts, Education, Health, and Social Projects in Wales (UK)","<a href=""https://www2.fundsforngos.org/community-development/supporting-local-arts-education-health-and-social-projects-in-wales-uk/"" rel=""nofollow"" title=""Supporting Local Arts, Education, Health, and Social Projects in Wales (UK)""><img alt="""" class=""webfeedsFeaturedVisual wp-post-image"" height=""150"" src=""https://www2.fundsforngos.org/wp-content/uploads/2017/12/United-Kingdom-300x150.png"" style=""float: left; margin-right: 5px;"" width=""300"" /></a><p>Deadline: 31-Jan-2026 The Gwendoline and Marga",https://www2.fundsforngos.org/community-development/supporting-local-arts-education-health-and-social-projects-in-wales-uk/,"Mon, 26 Jan 2026 04:31:48 +0000",,,"['education', 'health']",5,2026-01-26 09:55,True
Alliance for a Green Revolution in Africa (AGRA),foundation,"As Global Leaders Gather in Davos, AGRA Launches its 20th anniversary reflection and makes the case for African Agriculture as the Next Big Investment Opportunity","DAVOS, Switzerland, January 21, 2026: As global leaders and investors gather in the Swiss Alps for the World Economic Forum, one question dominates the agenda: where will the next decade of growth come from? AGRA arrives in Davos to launch a year-long reflection on twenty years of AGRA and Africa’s agri-food sector, with a clear [&#8230;]",https://agra.org/news/as-global-leaders-gather-in-davos-agra-launches-its-20th-anniversary-reflection-and-makes-the-case-for-african-agriculture-as-the-next-big-investment-opportunity/?utm_source=rss&utm_medium=rss&utm_campaign=as-global-leaders-gather-in-davos-agra-launches-its-20th-anniversary-reflection-and-makes-the-case-for-african-agriculture-as-the-next-big-investment-opportunity,"Thu, 22 Jan 2026 07:29:15 +0000","january 21, 2026",,['agriculture'],5,2026-01-26 10:02,True
ReliefWeb - Tanzania Updates,aggregator,Inclusion Lead,"<div class=""tag country"">Country: Philippines</div>
                                      <div class=""tag source"">Organization: DT Global</div>
                                                                                        <div class=""date closing"">Closing date: 13 Feb 2026</div>
                                        <p><strong>Program Background</strong></p>
<p>The Education Quality for Inclusive Prosperity (EQUIP) is a new Australian-funded program, implemented in the Philippines. E",https://reliefweb.int/job/4195662/inclusion-lead,"Mon, 26 Jan 2026 00:47:35 +0000",,,"['education', 'health', 'governance', 'climate']",5,2026-01-26 09:57,True
Global Fund Updates,foundation,African Ambassadors Unite in Geneva to Call for Strong Global Fund Replenishment,"African Ambassadors and Permanent Representatives of the Africa Group met yesterday at the Global Health Campus in Geneva, calling on the international community to rally behind the Global Fund’s Eighth Replenishment.",https://www.theglobalfund.org/en/updates/2025/2025-09-11-african-ambassadors-unite-geneva-call-strong-global-fund-replenishment/,"Thu, 11 Sep 2025 12:00:00 GMT",,,['health'],3,2026-01-26 09:59,True
ReliefWeb - Tanzania Updates,aggregator,Safeguarding Coordinator,"<div class=""tag country"">Country: Lebanon</div>
                                      <div class=""tag source"">Organization: ABAAD – Resource Center for Gender Equality</div>
                                                                                        <div class=""date closing"">Closing date: 6 Feb 2026</div>
                                        <p><strong>JOB TITLE:</strong> Safeguarding Coordinator</p>
<p><strong>LOCATION:</strong> Beirut based with regular travel to Mount Lebanon, ",https://reliefweb.int/job/4195438/safeguarding-coordinator,"Sun, 25 Jan 2026 21:45:01 +0000","february 06, 2026",,"['education', 'governance', 'climate']",3,2026-01-26 09:57,True
ReliefWeb - Tanzania Updates,aggregator,MHPSS Officer,"<div class=""tag country"">Country: Switzerland</div>
                                      <div class=""tag source"">Organization: Danish Red Cross</div>
                                                                                        <div class=""date closing"">Closing date: 8 Feb 2026</div>
                                        <p><strong>Danish Red Cross (DRC) is looking for an experienced Mental Health and Psychosocial support (MHPSS) profile to be seconded to the IFRC headquarters in Ge",https://reliefweb.int/job/4195378/mhpss-officer,"Sun, 25 Jan 2026 21:28:23 +0000",,,"['education', 'health', 'climate']",3,2026-01-26 09:57,True
ReliefWeb - Tanzania Updates,aggregator,Cell Supply Referent,"<div class=""tag country"">Country: Switzerland</div>
                                      <div class=""tag source"">Organization: Médecins Sans Frontières en Suisse</div>
                                                                      <div class=""date closing"">Closing date: 15 Feb 2026</div>
                                        <p><strong>Join MSF OCG as a Cell Supply Referent!</strong></p>
<p><strong>We are looking for passionate candidates ready to contribute to our humanitarian mission",https://reliefweb.int/job/4195422/cell-supply-referent,"Sun, 25 Jan 2026 21:38:05 +0000",,,"['education', 'health', 'climate']",3,2026-01-26 09:57,True
ReliefWeb - Tanzania Updates,aggregator,Consultancy: Data Collection Firm for SQ-LNS Baseline Assessment– Nothern Nigeria (Bauchi & Plateau),"<div class=""tag country"">Country: Nigeria</div>
                                      <div class=""tag source"">Organization: Evidence Action</div>
                                                                                        <div class=""date closing"">Closing date: 5 Feb 2026</div>
                                        <p>Evidence Action is a global non-profit organization dedicated to scaling evidence-based and cost-effective programs to reduce the burden of poverty. In Nigeria, Evide",https://reliefweb.int/job/4195628/consultancy-data-collection-firm-sq-lns-baseline-assessment-nothern-nigeria-bauchi-plateau,"Sun, 25 Jan 2026 21:06:35 +0000",,,"['education', 'health']",3,2026-01-26 09:57,True
ReliefWeb - Tanzania Updates,aggregator,"Monitoring, Evaluation, Research and Learning Lead","<div class=""tag country"">Country: Philippines</div>
                                      <div class=""tag source"">Organization: DT Global</div>
                                                                                        <div class=""date closing"">Closing date: 13 Feb 2026</div>
                                        <p><strong>Program Background</strong></p>
<p>The Education Quality for Inclusive Prosperity (EQUIP) is a new Australian-funded program, implemented in the Philippines. E",https://reliefweb.int/job/4195665/monitoring-evaluation-research-and-learning-lead,"Mon, 26 Jan 2026 00:58:36 +0000",,,"['education', 'governance', 'climate']",3,2026-01-26 09:57,True
WHO Africa,UN,"The Future of Health Service Delivery in the African Region: Proceedings from the Health Policy Laboratories on Primary Care, Hospitals, and Health Oversight in Africa","<span>Publications</span>

            <div class=""field field--name-field-cover field--type-image field--label-hidden field--item"">  <img alt="" The Future of Health Service Delivery in the African Region Health Policy Laboratories Report."" class=""img-responsive"" height=""267"" src=""https://www.afro.who.int/sites/default/files/2026-01/The%20Future%20of%20Health%20Service%20Delivery%20in%20the%20African%20Region%20Health%20Policy%20Laboratories%20Report.png"" width=""390"" />

</div>
      
<span><spa",https://www.afro.who.int/countries/south-sudan/publication/future-health-service-delivery-african-region-proceedings-health-policy-laboratories-primary-care,"Fri, 09 Jan 2026 09:11:28 +0000",,,"['health', 'governance']",3,2026-01-26 09:58,True
ReliefWeb - Tanzania Updates,aggregator,Programme Manager for Supply Chain Integrity,"<div class=""tag country"">Country: Germany</div>
                                      <div class=""tag source"">Organization: Forest Stewardship Council</div>
                                                                      <div class=""date closing"">Closing date: 8 Feb 2026</div>
                                        <p>• Location: Bonn, Germany.</p>
<p>• Working Hours: Full time - 40 hours per week.</p>
<p>• Duration of Employment: Temporary contract – 2 years (extension possible, subject ",https://reliefweb.int/job/4195593/programme-manager-supply-chain-integrity,"Sat, 24 Jan 2026 21:42:26 +0000",,,"['education', 'water', 'climate']",3,2026-01-26 09:57,True
UNESCO,UN,NEWS: Pakistani UNEVOC Centre calls for a reskilling revolution,"During the World Economic Forum Annual Meeting in Davos, Prof Dr Muhammad Mukhtar, Vice Chancellor of the National Skills University, Islamabad, urged TVET stakeholders to refine skills education policies and procedures within their countries to better align with the realities and requirements of the contemporary world.",https://www.technologytimes.pk/2020/01/27/prof-dr-muhammad-mukhtar-recognizes-reskilling-revolution-davos-2020/,"Wed, 11 Mar 2020 15:17:04 +0100",,,['education'],2,2026-01-26 09:56,True
