source,source_type,title,description,url,published,deadline,amount,sectors,relevance_score,discovered,is_new
African Development Bank,multilateral,African Development Fund Approves $22.9 Million Grant to Revitalize Malawi&#039;s Critical Hydropower Infrastructure,"<img src=""https://www.afdb.org/en/img src="" />
	The African Development Fund’s (ADF) Board of Directors has approved a grant of $22.9 million for the rehabilitation of Malawi’s Kapichira and Nkula B hydropower plants, marking a transformative investment in the nation's energy future.


	The $118.7 million initiative, with co-financing opportunities, will rehabilitate two critical power generation facilities—Kapichira I (64 MW), located in Chikwawa District and serving the southern region, and Nk",https://www.afdb.org/en/news-and-events/press-releases/african-development-fund-approves-229-million-grant-revitalize-malawis-critical-hydropower-infrastructure-89499,"Tue, 09 Dec 2025 00:00:00 +0000",,$22,"['education', 'health', 'agriculture', 'climate']",10,2026-01-26 10:28,True
African Development Bank,multilateral,African Development Fund approves investment to help Somali communities build climate-resilient livelihoods,"<img src=""https://www.afdb.org/en/img src="" />
	The Board of Directors of the African Development Fund (ADF) has approved, on 02 December 2025, a $9.63 million grant to strengthen climate resilience, food security and incomes of rural communities in the Hirshabelle and Puntland regions of Somalia.


	Under the Activating Climate-Resilient Agricultural Livelihoods in Somalia project, the financing will support investments in improved water access, climate-smart agriculture, and more robust disast",https://www.afdb.org/en/news-and-events/press-releases/african-development-fund-approves-investment-help-somali-communities-build-climate-resilient-livelihoods-89519,"Wed, 10 Dec 2025 00:00:00 +0000",,$9,"['education', 'health', 'water', 'agriculture', 'food_security', 'governance', 'climate']",9,2026-01-26 10:28,True
African Development Bank,multilateral,The African Development Fund approves a $9 million grant to boost climate resilience in Tanzania’s Mkondoa catchment,"<img src=""https://www.afdb.org/en/img src="" />
	The Board of Directors of the African Development Fund (ADF) has approved a $9.38 million grant to Tanzania to enhance climate resilience in the Mkondoa Catchment, a vital water resource area affected by floods and drought linked to climate change.


	Approved on 12 December 2025, the Enhancing Climate Resilience on Water Resources in Mkondoa Catchment project will be financed through the ADF’s Climate Action Window. It aims to protect communities ",https://www.afdb.org/en/news-and-events/press-releases/african-development-fund-approves-9-million-grant-boost-climate-resilience-tanzanias-mkondoa-catchment-89724,"Tue, 16 Dec 2025 00:00:00 +0000",,$9 million,"['health', 'water', 'agriculture', 'food_security', 'climate']",8,2026-01-26 10:28,True
African Development Bank,multilateral,"African Development Bank Group-funded fisheries programme  impacts two million people, drives economic transformation in 16 SADC countries","<img src=""https://www.afdb.org/en/img src="" />
	A regional initiative that has overhauled aquatic resource management and boosted cross-border fish trade is now improving the lives of nearly three million people across Southern Africa —raising fish production, consumption, and incomes.


	The Program for Improving Fisheries Governance and Blue Economy Trade Corridors (PROFISHBLUE) has generated cross-border trade volumes exceeding 500,000 tonnes over the past four years, creating employment, str",https://www.afdb.org/en/news-and-events/press-releases/african-development-bank-group-funded-fisheries-programme-impacts-two-million-people-drives-economic-transformation-16-sadc-countries-89309,"Thu, 04 Dec 2025 00:00:00 +0000",,$9,"['education', 'health', 'agriculture', 'food_security', 'governance', 'climate']",8,2026-01-26 10:28,True
ReliefWeb - Tanzania Updates,aggregator,Mechanical Engineer (Specialized in Agricultural Machinery and Equipment),"<div class=""tag country"">Country: Syrian Arab Republic</div>
                                      <div class=""tag source"">Organization: Bonyan Organization</div>
                                                                                        <div class=""date closing"">Closing date: 31 Jan 2026</div>
                                        <h2>General Information</h2>
<ul><li><strong>Department:</strong> ERL/FSL Program</li>
<li><strong>Job Title:</strong> Mechanical Engineer (Specialized",https://reliefweb.int/job/4195347/mechanical-engineer-specialized-agricultural-machinery-and-equipment,"Sun, 25 Jan 2026 21:27:43 +0000",,,"['education', 'health', 'water', 'agriculture', 'governance', 'climate']",7,2026-01-26 10:24,True
African Development Bank,multilateral,"ADF-17 Replenishment: In historic move, African countries race to contribute to continent’s development","<img src=""https://www.afdb.org/en/img src="" />
	The final pledging meeting for the next  three-year financing cycle of the African Development Fund (ADF) kicked off in London on Monday with an unprecedented increase in commitments from African countries.


	The President of the African Development Bank Group, Sidi Ould Tah, welcomed the “unanimous interest among African countries to pledge to ADF-17 Replenishment”, describing the surge in commitments – a more than tripling of the number and size",https://www.afdb.org/en/news-and-events/press-releases/adf-17-replenishment-historic-move-african-countries-race-contribute-continents-development-89684,"Mon, 15 Dec 2025 00:00:00 +0000",,$45 b,"['education', 'health', 'water', 'agriculture', 'climate']",7,2026-01-26 10:28,True
ReliefWeb - Tanzania Updates,aggregator,Inclusion Lead,"<div class=""tag country"">Country: Philippines</div>
                                      <div class=""tag source"">Organization: DT Global</div>
                                                                                        <div class=""date closing"">Closing date: 13 Feb 2026</div>
                                        <p><strong>Program Background</strong></p>
<p>The Education Quality for Inclusive Prosperity (EQUIP) is a new Australian-funded program, implemented in the Philippines. E",https://reliefweb.int/job/4195662/inclusion-lead,"Mon, 26 Jan 2026 00:47:35 +0000",,,"['education', 'health', 'governance', 'climate']",5,2026-01-26 10:24,True
African Development Bank,multilateral,Somalia: African Development Fund approves $19 million grant to strengthen urban resilience for displaced and host communities,"<img src=""https://www.afdb.org/en/img src="" />
	The Board of Directors of the African Development Fund (ADF) has approved a grant of $19.7 million to improve living conditions for 20,000 vulnerable households and support the local integration of over 128,000 internally displaced people (IDPs) in Doolow, one of Somalia’s most fragile border towns.


	The grant from the Transition Support Facility for Somalia’s Strengthening Urban Resilience of Displaced and Host Communities in Doolow Project will",https://www.afdb.org/en/news-and-events/press-releases/somalia-african-development-fund-approves-19-million-grant-strengthen-urban-resilience-displaced-and-host-communities-89274,"Wed, 03 Dec 2025 00:00:00 +0000",,$19 million,"['water', 'agriculture', 'climate']",5,2026-01-26 10:28,True
Alliance for a Green Revolution in Africa (AGRA),foundation,"As Global Leaders Gather in Davos, AGRA Launches its 20th anniversary reflection and makes the case for African Agriculture as the Next Big Investment Opportunity","DAVOS, Switzerland, January 21, 2026: As global leaders and investors gather in the Swiss Alps for the World Economic Forum, one question dominates the agenda: where will the next decade of growth come from? AGRA arrives in Davos to launch a year-long reflection on twenty years of AGRA and Africa’s agri-food sector, with a clear [&#8230;]",https://agra.org/news/as-global-leaders-gather-in-davos-agra-launches-its-20th-anniversary-reflection-and-makes-the-case-for-african-agriculture-as-the-next-big-investment-opportunity/?utm_source=rss&utm_medium=rss&utm_campaign=as-global-leaders-gather-in-davos-agra-launches-its-20th-anniversary-reflection-and-makes-the-case-for-african-agriculture-as-the-next-big-investment-opportunity,"Thu, 22 Jan 2026 07:29:15 +0000","january 21, 2026",,['agriculture'],5,2026-01-26 10:28,True
FundsForNGOs - All,aggregator,"Supporting Local Arts, Education, Health, and Social Projects in Wales (UK)","<a href=""https://www2.fundsforngos.org/community-development/supporting-local-arts-education-health-and-social-projects-in-wales-uk/"" rel=""nofollow"" title=""Supporting Local Arts, Education, Health, and Social Projects in Wales (UK)""><img alt="""" class=""webfeedsFeaturedVisual wp-post-image"" height=""150"" src=""https://www2.fundsforngos.org/wp-content/uploads/2017/12/United-Kingdom-300x150.png"" style=""float: left; margin-right: 5px;"" width=""300"" /></a><p>Deadline: 31-Jan-2026 The Gwendoline and Marga",https://www2.fundsforngos.org/community-development/supporting-local-arts-education-health-and-social-projects-in-wales-uk/,"Mon, 26 Jan 2026 04:31:48 +0000",,,"['education', 'health']",5,2026-01-26 10:24,True
